Author Name,N/A
Author ID,55512419100
Affiliation,Universiti Utara Malaysia
h-index,N/A
Total Documents,96
Total Citations,1167
Subject Areas,"Library and Information Sciences, Management of Technology and Innovation, Pollution, Pharmacology, Toxicology and Pharmaceutics (all), Psychiatric Mental Health, Environmental Science (all), Cultural Studies, Food Science, Chemistry (all), Safety, Risk, Reliability and Quality, Materials Chemistry, Physiology (medical), Strategy and Management, Cellular and Molecular Neuroscience, Biophysics, Information Systems, Computer Science (all), Physics and Astronomy (all), Economics, Econometrics and Finance (all), Dentistry (all), Arts and Humanities (all), Genetics, Molecular Biology, Marketing, Aging, Information Systems and Management, Agricultural and Biological Sciences (all), Ocean Engineering, Computer Networks and Communications, Education, Industrial and Manufacturing Engineering, Accounting, Genetics (clinical), Aquatic Science, Biological Psychiatry, Social Sciences (miscellaneous), Renewable Energy, Sustainability and the Environment, Philosophy, Ecology, Economics, Econometrics and Finance (miscellaneous), Law, Hardware and Architecture, Arts and Humanities (miscellaneous), Energy (all), Mechanics of Materials, Business, Management and Accounting (all), Organizational Behavior and Human Resource Management, Behavioral Neuroscience, Management Science and Operations Research, Engineering (miscellaneous), Electrical and Electronic Engineering, Water Science and Technology, Biochemistry, Applied Mathematics, Multidisciplinary, Ecology, Evolution, Behavior and Systematics, Linguistics and Language, Economics and Econometrics, Business and International Management, Social Sciences (all), Civil and Structural Engineering, Public Health, Environmental and Occupational Health, Management Information Systems, Agronomy and Crop Science, Medicine (all), Mechanical Engineering, Cell Biology, Instrumentation, Development, Political Science and International Relations, Control and Systems Engineering, Language and Linguistics, Engineering (all), Physiology, Computer Science Applications, Finance, Psychiatry and Mental Health, Health (social science), Mathematics (all), Cognitive Neuroscience, Decision Sciences (all), Applied Psychology, Insect Science, Biochemistry, Genetics and Molecular Biology (all)"

SCOPUS_ID,Title,Publication,Date,DOI,Cited By,URL
SCOPUS_ID:85218013335,Profiling the Research Landscape of Student Leadership From 1930 to 2023: A Bibliometric Analysis,European Journal of Education,2025-03-01,10.1111/ejed.70043,0,https://api.elsevier.com/content/abstract/scopus_id/85218013335
SCOPUS_ID:85219057030,Bibliometric Study on Corporate Governance of Islamic Banks,International Journal of Economics and Financial Issues,2025-02-17,10.32479/ijefi.18280,0,https://api.elsevier.com/content/abstract/scopus_id/85219057030
SCOPUS_ID:86000191021,From classroom challenges to scholarly insights: A bibliometric analysis of novice teacher research,British Educational Research Journal,2025-01-01,10.1002/berj.4153,0,https://api.elsevier.com/content/abstract/scopus_id/86000191021
SCOPUS_ID:85218732676,Fiscal decentralization and corruption: The moderating role of economic responsibility audit in China,International Journal of Innovative Research and Scientific Studies,2025-01-01,10.53894/ijirss.v8i1.4430,0,https://api.elsevier.com/content/abstract/scopus_id/85218732676
SCOPUS_ID:85215303300,Nonpharmacological Management of Dental Anxiety in the General Population and Individuals With Learning Disabilities: A Bibliometric Analysis,Special Care in Dentistry,2025-01-01,10.1111/scd.13102,0,https://api.elsevier.com/content/abstract/scopus_id/85215303300
SCOPUS_ID:85190870529,Navigating the labyrinth of social exclusion: a bibliometric review,Mental Health and Social Inclusion,2024-12-03,10.1108/MHSI-02-2024-0025,0,https://api.elsevier.com/content/abstract/scopus_id/85190870529
SCOPUS_ID:85213420939,Blossoming Insights: A Bibliometric Review of Botanical Gardens’ Research Across Time (1960-2023),International Journal of Design and Nature and Ecodynamics,2024-12-01,10.18280/ijdne.190629,0,https://api.elsevier.com/content/abstract/scopus_id/85213420939
SCOPUS_ID:85199985717,Arbitration in Construction Project Disputes over the Last Decade: Bibliometric and Content Analysis,Journal of Legal Affairs and Dispute Resolution in Engineering and Construction,2024-11-01,10.1061/JLADAH.LADR-1136,0,https://api.elsevier.com/content/abstract/scopus_id/85199985717
SCOPUS_ID:85196546924,Global and LMIC insights into Acceptance and Commitment Therapy (ACT): A bibliometric study from 1998 to 2023,Journal of Contextual Behavioral Science,2024-07-01,10.1016/j.jcbs.2024.100796,1,https://api.elsevier.com/content/abstract/scopus_id/85196546924
SCOPUS_ID:85168503593,Towards concise reporting through integrated reporting: a bibliometric review,Meditari Accountancy Research,2024-04-25,10.1108/MEDAR-10-2021-1470,6,https://api.elsevier.com/content/abstract/scopus_id/85168503593
SCOPUS_ID:85181689856,The current state of published literature on halal tourism and hospitality: a bibliometric review,Journal of Islamic Marketing,2024-03-07,10.1108/JIMA-02-2023-0054,18,https://api.elsevier.com/content/abstract/scopus_id/85181689856
SCOPUS_ID:85159278376,"Correction to: Sustainable financial services: reflection and future perspectives (Journal of Financial Services Marketing, (2023), 28, 4, (664-690), 10.1057/s41264-022-00187-4)",Journal of Financial Services Marketing,2024-03-01,10.1057/s41264-022-00196-3,0,https://api.elsevier.com/content/abstract/scopus_id/85159278376
SCOPUS_ID:85208029178,A Decade in Blockchain: A Bibliometric Reflection on the Growth and Interdisciplinary Reach of a Disruptive Technology,Journal of Information and Communication Technology,2024-01-01,10.32890/jict2024.23.4.3,0,https://api.elsevier.com/content/abstract/scopus_id/85208029178
