"SCOPUS_ID","EID","Title","Authors","Author IDs","Author Affiliations","Creators","Publication Name","eISSN","Volume","Page Range","Cover Date","DOI","Cited By Count","Aggregation Type","Subtype","Subtype Description","Source ID","Open Access","URL","Abstract","Subject Classification","Affiliation Names","Affiliation Cities","Affiliation Countries"
"84891797414","2-s2.0-84891797414","The roles of personality in the context of knowledge sharing: A Malaysian perspective","Manaf H.A., Marzuki N.A.","55565189500, 55990403300","60002763, 60002763","Manaf H.","Asian Social Science","19112025","10","138-150","2013-12-31","10.5539/ass.v10n1p138","13","Journal","ar","Article","21100198464","1","https://api.elsevier.com/content/abstract/scopus_id/84891797414","Our era of knowledge today has shown the fact that accomplishments achieved by public agencies receive influence from several inside factors; to name but a few, individual intelligence and personality characteristics. The emphasis on this paper rests on the contributions made by personality and the act of implicit knowledge-sharing to improve individual presentation, with special regards to managers in the public sector. There is a potential that this paper can serve to justify how individual differences are able to weave their way among knowledge workers for performance improvement. The assessment of personality traits is performed using the Big Five Inventory, where the traits are extraversion, agreeableness, openness to experience, neuroticism and conscientiousness. Tacit knowledge sharing, on the other hand, is realized through mentoring and knowledge-sharing agenda. This current study is targeted at Malaysian public sector managers who are expected to distribute their valuable knowledge with others and help enhance individual productivity. Individual performance system is introduced as a measuring tool on individual productivity which comprises of four main components; knowledge and expertise, personal quality, leadership and community contribution. It is suggested that for the purpose of practising knowledge sharing, managers need to possess some personality traits to improve their employees' performance.","Arts and Humanities (all), Social Sciences (all), Economics, Econometrics and Finance (all)","Universiti Utara Malaysia","Sintok","Malaysia"
"84891775199","2-s2.0-84891775199","Perceived and preferred interviewer characteristics in selection interview","Marzuki N.A.","55990403300","60002763","Marzuki N.A.","Asian Social Science","19112025","10","165-170","2013-12-31","10.5539/ass.v10n1p165","0","Journal","ar","Article","21100198464","1","https://api.elsevier.com/content/abstract/scopus_id/84891775199","Perceptions of interviewer characteristics signify the validity and reliability of selection procedures. Personality characteristics of the interviewer such as personableness, skills and competency, questioning manner and job information may be perceived differently in different situations. This study examined the perceived and preferred interviewer characteristics based on Perceived Interviewer Characteristics Scale by Ahmad Marzuki (2000). In addition, it included the preferred interviewer characteristics scales modified from the original scales. A total of 140 participants were selected as samples. Results indicated that the actual 4 scales except for 'questioning manner' characteristic were correlated to the preferred interviewer characteristics. Results also shown that there were significant differences between what the applicants perceived and what the applicants preferred in three interviewer characteristics namely personableness, skills and competency and job information in general, as well as based on those who were offered and not offered the job.","Arts and Humanities (all), Social Sciences (all), Economics, Econometrics and Finance (all)","Universiti Utara Malaysia","Sintok","Malaysia"
"84891117534","2-s2.0-84891117534","Examining the relationship among TQM, organizational learning and innovation performance","Mohammed Yusr M., Mohd Mokhtar S.S., Rahim Othman A.","56142041900, 35848996100, 56140733700","60002763, 60002763, 60002763","Mohammed Yusr M.","World Applied Sciences Journal","19916426","23","22-26","2013-12-31","10.5829/idosi.wasj.2013.23.eemcge.2205","14","Journal","ar","Article","20500195146","0","https://api.elsevier.com/content/abstract/scopus_id/84891117534","TQM and organizational learning are considered as management practices that can enhance innovation performance. However, the question still remains regarding the nature of relationship among these concepts. Although there are many studies in the literature, most of them are prescriptive and case studies which did not provide evidence that can be generalized. Thus, this study examines the relationships among TQM practices, organizational learning capability and innovation performance and determines the mediating relationship between TQM and innovation performance through organizational learning. The data were collected by using on-line survey approach to manufacturing companies. One hundred and thirty nine Malaysian manufacturing companies participated in this study. The findings of this study supported all hypotheses. © IDOSI Publications, 2013.","Multidisciplinary","Universiti Utara Malaysia","Sintok","Malaysia"
"84891111977","2-s2.0-84891111977","A review of Yorùbá Automatic Speech Recognition","Yusof S.A.M., Atanda A.F., Hariharan M.","55975569400, 55433728000, 26655536100","60002763, 60002763, 60090652","Yusof S.A.M.","Proceedings - 2013 IEEE 3rd International Conference on System Engineering and Technology, ICSET 2013","N/A","N/A","242-247","2013-12-31","10.1109/ICSEngT.2013.6650178","4","Conference Proceeding","cp","Conference Paper","21100276774","0","https://api.elsevier.com/content/abstract/scopus_id/84891111977","Automatic Speech Recognition (ASR) has recorded appreciable progress both in technology and application. Despite this progress, there still exist wide performance gap between human speech recognition (HSR) and ASR which has inhibited its full adoption in real life situation. A brief review of research progress on Yorùbá Automatic Speech Recognition (ASR) is presented in this paper focusing of variability as factor contributing to performance gap between HSR and ASR with a view of x-raying the advances recorded, major obstacles, and chart a way forward for development of ASR for Yorùbá that is comparable to those of other tone languages and of developed nations. This is done through extensive surveys of literatures on ASR with focus on Yorùbá. Though appreciable progress has been recorded in advancement of ASR in the developed world, reverse is the case for most of the developing nations especially those of Africa. Yorùbá like most of languages in Africa lacks both human and materials resources needed for the development of functional ASR system much less taking advantage of its potentials benefits. Results reveal that attaining an ultimate goal of ASR performance comparable to human level requires deep understanding of variability factors. © 2013 IEEE.","Control and Systems Engineering","Universiti Utara Malaysia","Sintok","Malaysia"
"84891105342","2-s2.0-84891105342","Harmony great deluge for solving curriculum based course timetabling problem","Wahid J., Hussin N.M.","55331136400, 13006263500","60002763, 60004351","Wahid J.","Proceedings - 2013 IEEE 3rd International Conference on System Engineering and Technology, ICSET 2013","N/A","N/A","152-156","2013-12-31","10.1109/ICSEngT.2013.6650161","0","Conference Proceeding","cp","Conference Paper","21100276774","0","https://api.elsevier.com/content/abstract/scopus_id/84891105342","University course timetabling which has been determined as non deterministic polynomial problem that accept widely as problem that are intractable. An efficient algorithm does not exist that is guaranteed to find an optimal solution for such problems. The design of good algorithm to find new methods and techniques to solve such problem is a very active area of research. This paper presents the adaption of the hybridizing between harmony search with great deluge algorithm for solving curriculum-based course timetabling problems. The algorithm can be adapted to the problem. Results were not comparatively better than those previously known as best solution. Proper modification in terms of the approach in this algorithm would make the algorithm perform better on curriculum-based course timetabling. © 2013 IEEE.","Control and Systems Engineering","Universiti Utara Malaysia","Sintok","Malaysia"
"84890960557","2-s2.0-84890960557","Software frameworks in biomedical informatics: A systematic review and research agenda","Al-Bashayreh M.G., Hashim N.L., Khorma O.T.","55605080400, 16052739400, 55604481100","60002763, 60002763, 60002763","Al-Bashayreh M.G.","Journal of Software","N/A","8","2996-3006","2013-12-30","10.4304/jsw.8.12.2996-3006","1","Journal","ar","Article","19700186824","0","https://api.elsevier.com/content/abstract/scopus_id/84890960557","Design of Mobile Patient Monitoring Frameworks (MPMF) is an emerging study in the biomedical informatics domain. However, literature about this topic remains fragmented: first, there are no categories in the literature to characterize these MPMF; second, there are no success factors that must be satisfied to enhance the design of these MPMF; third, there is a need for a research agenda that provides a foundation for further research and development to enhance the design of these MPMF. To address this gap, this paper reviews software frameworks in general and conducts a systematic review of 20 designed frameworks in the biomedical informatics domain. Consequently, this paper provides three results. First, it identifies a number of categories to be used to gain an intensive and extensive understanding of the designed MPMF. Second, it identifies a set of success factors, called Factors of Successful Application Frameworks (FSAF), to be used to enhance the design of MPMF. Third, it presents a research agenda that shows lacks and gaps in the designed MPMF and provides a foundation to help researchers design enhanced MPMF. The results show that, as of yet, there is no study integrating all the FSAF to enhance the design of MPMF. Therefore, there is a need for further research to enhance the existing MPMF design. © 2013 Academy Publisher.","Software, Human-Computer Interaction, Artificial Intelligence","Universiti Utara Malaysia","Sintok","Malaysia"
"84890375875","2-s2.0-84890375875","A review of career success with gender, human resource policies and cultural diversity","Zafar J., Mat N.","58909612300, 57211553493","60038659, 60002763","Zafar J.","Middle East Journal of Scientific Research","19998147","17","655-659","2013-12-19","10.5829/idosi.mejsr.2013.17.05.11982","0","Journal","ar","Article","21100201971","0","https://api.elsevier.com/content/abstract/scopus_id/84890375875","Career success has always remained an important variable to study among human resource specialists. A number of researchers have tied to make sense of the term. Moreover, the importance of career success has been highlighted during the 2007-2012 financial crises that had a massage for career pursuers. The crisis is known by economists as the worst since the great depression of the 1930's. Some of best institutions collapsed and stocks markets began to crash, resulting in bailout by the governments. In the wake of global economic turmoil, there is unemployment rampant which has made people to re-think about their careers and what it holds for them. It is, therefore, important to look into career success especially with regards to the various factors causing it. The present article has an emphasis on gender, human resource management policies and cross cultural comparisons from previous research done so as to get a better picture of the dependent variable, i.e. career success. These factors have been chosen as they are a representative of an individual, an organization and a nation respectively. The current article is especially beneficial for those who are new to area of career studies and intend to research on the various factors responsible for career success. © IDOSI Publications, 2013.","Multidisciplinary","University of Sargodha","Sargodha","Pakistan"
"84890205024","2-s2.0-84890205024","Freedom of religion and apostasy under international law: With special reference to article 11 of the Malaysian federal constitution","Masum A., Ahmad N.","55962221100, 26424254100","60002763; 60002763, 60002763; 60002763","Masum A.","Journal of East Asia and International Law","N/A","6","435-457","2013-12-17","10.14330/jeail.2013.6.2.05","4","Journal","ar","Article","21100211321","1","https://api.elsevier.com/content/abstract/scopus_id/84890205024","The right to freedom of religion is one of the fundamental rights guaranteed in many international and regional human rights instruments. Several international documents safeguard freedom of religion including the right to convert from one faith to another. In Malaysia, the safeguard of this fundamental right is provided under Article 11(1) of the Federal Constitution with some limitations. The right to convert out of one' s faith is not mentioned explicitly. However, for the non- Muslims, this right to opt out of one' s faith and choose another has been regarded as an implicit part of religious liberty guaranteed by Article 11. In relation to the Muslims, the issue of apostasy is regarded as a taboo as well as a politically explosive proposition. This paper aims to examine the concept of freedom of religion under international law focusing mainly on the issue of apostasy in the context of the Malaysian Federal Constitution. The paper concludes that the position of Muslims especially in the context of embracing a new religion remains unsettled.","Law","Universiti Utara Malaysia","Sintok","Malaysia"
"84889665244","2-s2.0-84889665244","On the cache performance of the information centric network","Hassan S., Aziz Z., Nisar K.","57447684800, 57198375354, 25825419000","60002763, 60002763, 60002763","Hassan S.","Proceedings - 2013 International Conference on Computer, Electrical and Electronics Engineering: 'Research Makes a Difference', ICCEEE 2013","N/A","N/A","477-481","2013-12-12","10.1109/ICCEEE.2013.6633985","7","Conference Proceeding","cp","Conference Paper","21100272901","0","https://api.elsevier.com/content/abstract/scopus_id/84889665244","The current Internet model has proved more sustainable then the provisioned capacity at the time when the architecture was designed. The voluminous growth of traffic over the Internet has brought challenges for the exiting networking architecture. The information centric paradigm appears to offer efficient solution towards content dissemination model. It is a content-focused networking paradigm rather than host-to-host communication. Caching is one of the major components of information centric networks. This paper is intended to explore the impact of cache on critical attributes of networks. We have made a comparative analysis of in-network and edge network caching mechanism using network simulation. The results proved that in-network caching mechanism is far better than network edge caching with improved throughout, increase link capacity to avoid congestion. © 2013 IEEE.","Electrical and Electronic Engineering","Universiti Utara Malaysia","Sintok","Malaysia"
"84889604220","2-s2.0-84889604220","Cloud computing for rural ICT development: Opportunities and challenges","Firdhous M., Ghazali O., Hassan S.","36617359600, 55953618400, 57447684800","60002763; 60071105, 60002763, 60002763","Firdhous M.","Proceedings - 2013 International Conference on Computer, Electrical and Electronics Engineering: 'Research Makes a Difference', ICCEEE 2013","N/A","N/A","680-685","2013-12-11","10.1109/ICCEEE.2013.6634022","13","Conference Proceeding","cp","Conference Paper","21100272901","0","https://api.elsevier.com/content/abstract/scopus_id/84889604220","According to the United Nations, almost 50 percent of world population and more than 70 percent of that of developing countries are living in rural areas. Majority of this population live in poverty especially in North and sub Saharan Africa. Rural population face unique problems compared to their urban counterparts in terms of access to technologies, infrastructure, markets and social services. Experts have identified ICT as the tool for overcoming the inefficiencies in traditional methods for the empowerment of rural masses. In this paper, we study how cloud computing can be used to meet the ICT requirements for rural development in terms of opportunities and challenges of implementing and using the new technology. © 2013 IEEE.","Electrical and Electronic Engineering","University of Moratuwa | Universiti Utara Malaysia","Moratuwa | Sintok","Sri Lanka | Malaysia"
