"SCOPUS_ID","EID","Title","Authors","Author IDs","Author Affiliations","Creators","Publication Name","eISSN","Volume","Page Range","Cover Date","DOI","Cited By Count","Aggregation Type","Subtype","Subtype Description","Source ID","Open Access","URL","Abstract","Subject Classification","Affiliation Names","Affiliation Cities","Affiliation Countries"
"84919823236","2-s2.0-84919823236","Does the Foreign exchange market overreact?","Anusakumar S.V., Abdullah N.A.H.","55260192700, 57202626302","60000906, 60212344","Anusakumar S.V.","Asian Journal of Business and Accounting","21803137","7","117-138","2014-12-31","N/A","0","Journal","ar","Article","21100199113","0","https://api.elsevier.com/content/abstract/scopus_id/84919823236","This study uses a sample of 21 currencies to investigate exchange rate behaviour following extreme 1-day exchange rate movements during the period January 2000 to December 2007. Deriving evidence from a post-event cumulative average abnormal return of winners and associated losers, the results lend support to the overreaction hypothesis, underreaction hypothesis, and uncertain information hypothesis. Moreover, there is substantial evidence of investor over-optimism to negative and positive events. The efficient market hypothesis is rejected for all currencies. Contrary to prior studies, currencies of emerging markets do not overreact more than those of the developed markets. The magnitude effect is also not supported. On an aggregate basis, the currency market tends to overreact which implies that the market is not efficient.","Business and International Management, Accounting","Universiti Sains Malaysia","Minden","Malaysia"
"84919796902","2-s2.0-84919796902","The masters’ control: How ownership structure influences the communication of financial ratios","Aripin N., Ho P., Tower G.","38860967400, 58586944000, 6602835515","60212344, 60192281, 60031226","Aripin N.","Asian Journal of Business and Accounting","21803137","7","45-69","2014-12-31","N/A","6","Journal","ar","Article","21100199113","0","https://api.elsevier.com/content/abstract/scopus_id/84919796902","This study analyses the effect of the attributes of ownership structure and corporate governance on financial ratios disclosure in Malaysian listed firms’ annual reports over two key periods, 2001 and 2006. Overall, the extent of financial ratios disclosure has significantly increased from 12.2 per cent to 15.0 per cent. The highest level of financial ratios disclosure is for the sub-categories of Profitability, Cash Flow and Share Market Measures, whereas there is less information reported for Capital Structure and Liquidity ratios. Further, the analysis shows that the institutional ownership negatively influences the financial ratios disclosure for 2001; and foreign ownership is positively associated with financial ratios disclosure in 2006. Interestingly, family ownership appears to have no significant influence on the disclosure in either period. Ownership concentration, on the other hand has a positive association with financial ratios disclosure in 2001; this is the opposite direction than hypothesised. In addition, the corporate governance attributes have also influenced the financial ratios disclosure in 2001. As for control variables, firm size and profitability are found to have a positive relationship with financial ratios disclosure for both years. These findings provide evidence that the attributes of ownership structure and the implementation of sound corporate governance reduce the information asymmetry between management and stakeholders and therefore, further enhance transparency.","Business and International Management, Accounting","College of Business, Universiti Utara Malaysia","Sintok","Malaysia"
"84920282362","2-s2.0-84920282362","Technology adoption and innovation of E-Government in Republic of Iraq","Faaeq M.K., Alqasa K., Al-Matari E.M.","56015533400, 55955713600, 56181353400","60002763, 60002763, 60212346","Faaeq M.K.","Asian Social Science","19112025","11","135-145","2014-12-30","10.5539/ass.v11n3p135","20","Journal","ar","Article","21100198464","1","https://api.elsevier.com/content/abstract/scopus_id/84920282362","Electronic government (EG) refers to a computer application employed in government activities and operations, where both government and the public are enabled to interact and transact online. The practicability of EG has not been largely explored in the context of Iraq, owing to the conflicting activities it has been experiencing in the past few years. Prior to EG adoption, variables have to be examined such as infrastructure, social factors, security, skills, users’ behavior etc. The present study aims at examining the related variables that could potentially bar the EG services adoption in Iraq with the help of the Unified Theory of Acceptance and Use of Technology (UTAUT). Three independent variables are examined namely effort expectancy, performance expectancy, and social influence – the influence of these variables on the EG services uses as the dependent variable is examined. The study proposes a quantitative examination of the EG services usage behavior with data gathered from Iraq. The study findings are then discussed.","Arts and Humanities (all), Social Sciences (all), Economics, Econometrics and Finance (all)","Universiti Utara Malaysia","Sintok","Malaysia"
"84908212766","2-s2.0-84908212766","Efficiency and risk in commercial banking: empirical evidence from East Asian countries","Chan S.G., Karim M.Z.A., Burton B., Aktan B.","36160355300, 36160167000, 36878314900, 26433026500","60029157, 60002763, 60171139, 60000237","Chan S.G.","European Journal of Finance","14664364","20","1114-1132","2014-12-27","10.1080/1351847X.2012.745008","19","Journal","ar","Article","14971","0","https://api.elsevier.com/content/abstract/scopus_id/84908212766","This paper analyses the effects of off-balance sheet (OBS) activities and various types of risks on the cost and profit efficiencies of banks in seven East Asian countries between 2001 and 2008. Cost and profit efficiency scores are estimated using the data envelopment analysis approach. The results of this analysis are then used to identify the impact of OBS activities and risk exposures on cost and profit efficiencies using a Tobit regression. Bank insolvency risk (as measured by z-scores) is positively related to profit efficiency, while interest sensitivity, size, equity to total assets and OBS exposures all impact on cost efficiency. The analysis of the impact of input and output slacks illustrates that in around 1 in 5 cases banks’ cost efficiency can be improved by adjusting the former variables, whereas in only around 1 in 100 cases a similar outcome is possible for profit efficiency.","Economics, Econometrics and Finance (miscellaneous)","Universiti Malaya","Kuala Lumpur","Malaysia"
"84928621447","2-s2.0-84928621447","System dynamics approach as a risk management tool in analyzing pension expenditure: The case of malaysian employees public pension plan","Sapiri H., Kamil A.A., Tahar R.M.","55534807700, 24481107300, 55899271100","60002763, 60000906, 60090654","Sapiri H.","Singapore Economic Review","N/A","59","N/A","2014-12-25","10.1142/S0217590814500465","6","Journal","ar","Article","24982","0","https://api.elsevier.com/content/abstract/scopus_id/84928621447","Malaysian employees' public pension plan was studied to analyze pension expenditure due to salary risk and demographic risk. By integrating risk management and System Dynamics (SD) approach, the risk factors involved were identified, a causal loop diagram was constructed, and the SD model was developed. By using a sample of actual data, the proposed model was then validated through behavior validity test and a risk analysis was conducted. Then, risk monitoring was performed through policy evaluation in which the impact of different policy scenarios on pension expenditure was analyzed. Risk management and dynamics simulation approach in analyzing pension expenditure were shown to be useful in evaluating the impact of changes and policy decisions on risk.","Economics and Econometrics","Universiti Utara Malaysia","Sintok","Malaysia"
"84919644231","2-s2.0-84919644231","Agenda setting of Iraq image in Malaysian English newspaper","Kassed H.K., Mustaffa C.S.","56459081700, 25960907500","60002763; 60180320, 60002763","Kassed H.K.","Asian Social Science","19112025","11","225-237","2014-12-20","10.5539/ass.v11n2p225","4","Journal","ar","Article","21100198464","1","https://api.elsevier.com/content/abstract/scopus_id/84919644231","Mass media news on certain country itself can affect their image on society. The image that will appear could be positive, negative or neutral depending on the content in it. This study employs content analysis of Agenda Setting of Iraq image in Malaysian English newspapers indicated that NSTP and the Star. In total, 535 articles and news stories were obtained from three periods before, during and after the occupation of Iraq. Findings showed that the Agenda Setting for NSTP focused on the issue of “The Malaysia’s policy towards Iraq”, “The US policy and the occupation of Iraq” and “The impact of war on Malaysia”. While, the Star focused on “Iraq’s needs and suffering”. In summary, the newspapers seem to take great care in transmitting images of other countries particularly the Islamic country, which could affect Malaysia and its neighbors politically, economically and socially. Thus it can be concluded that the media’s ownership position plays vital role in shaping countries image in media coverage. The current study indicated that the positive and neutral image of Iraq in NSTP are considered important to the Malaysian government to advance its domestic and foreign policies to Malaysians, and also due to its political and economic interests with Iraq which is a Muslim country. Contrarily, the Star seemed to oppose government policies but this opposition is marginal and issue specific in nature depending upon the involvement of Malaysia interests and intensity of the government media differences on those issues.","Arts and Humanities (all), Social Sciences (all), Economics, Econometrics and Finance (all)","Ministry Of Science and Technology, Baghdad | Universiti Utara Malaysia","Baghdad | Sintok","Iraq | Malaysia"
"84921409252","2-s2.0-84921409252","Development and application of a health record system in main office and branches of Dhi-Qar health directorate","Al-Khafaji N.J.F., Alshaher M.A.K., Asmail M.A.A., Glood S.H.","57009694400, 56487772500, 57206893378, 56487900000","60002763, 60109271, 60071150, 60002763","Al-Khafaji N.J.F.","2014 3rd International Conference on e-Technologies and Networks for Development, ICeND 2014","N/A","N/A","98-103","2014-12-17","10.1109/ICeND.2014.6991361","0","Conference Proceeding","cp","Conference Paper","21100367677","0","https://api.elsevier.com/content/abstract/scopus_id/84921409252","Advances in electronic transactions and the Internet have contributed to the popularization of new modes of interaction. Governments, particularly those in developed countries, boast about the efficiency of their electronic systems. Meanwhile, most agencies in developing countries, such as Iraq, lack the advantages provided by new technologies. Therefore, this study aims to discover the limitations of e-health services in developing countries through a literature review, as well as establish an effective system that allows information exchange between the main office and its branches in the local government. Considering the health-related importance of an Health Electronic Record (HER) System, this study designs a system that connects all branch offices with the main office in the center of the province. The development of techniques to improve time and cost management, data handling, decision making, and interactions between agencies is indispensable. The proposed system is expected to improve the quality of service, which allows one branch of a local government to generate up to dozens of files in different locations. Ultimately, this system will assist the local government of Dhi-Qar Province in converting these files into one secure and accessible database.","Computer Networks and Communications, Computer Science Applications, Software","Universiti Utara Malaysia","Sintok","Malaysia"
"84921371243","2-s2.0-84921371243","Utilizing mobile applications as a channel of interaction between the citizens and the government: Design M-police in Iraq","Hameed A.G., Shukur B.S., Al-Khafaji N.J., Al-Farhan H.A.","56487092100, 56208747000, 57009694400, 56487951800","114899906, 60071147, 60002763, 60002763","Hameed A.G.","2014 3rd International Conference on e-Technologies and Networks for Development, ICeND 2014","N/A","N/A","1-7","2014-12-17","10.1109/ICeND.2014.6991182","5","Conference Proceeding","cp","Conference Paper","21100367677","0","https://api.elsevier.com/content/abstract/scopus_id/84921371243","Mobile devices are currently assuming significant roles in our daily and business life. M-government is one of the revolutionary developments that come from the adoption of wireless mobile technologies in government activities. The International Telecommunication Union (2013) stated that a continuous growth of people worldwide use information and communication technologies along with the increasing number of services and applications offered over the Internet and on mobile devices. Thus, mobile technologies are enhanced with distinctive features that provide government agencies with more efficient and convenient services. The mobility provided by these technologies provides accessible and updated information real-time services available 24 hours a day, 7 days a week. This paper reduces the number of explosions in Iraq, which could be realized by utilizing modern technologies and promoting citizen participation in sending information regarding suspicious cars and situations. To achieve this goal, this paper utilizes the significant number of mobile phone users in Iraq. Thus, the system is designed (M-Police) via Android platforms that are widely used throughout the world.","Computer Networks and Communications, Computer Science Applications, Software","Ministry of Finance","Baghdad","Iraq"
"84929347083","2-s2.0-84929347083","Test data generation framework for Automatic Programming Assessment","Romli R., Sulaiman S., Zamli K.Z.","36609124000, 25825568100, 8701576800","60002763, 60021005, 60090654","Romli R.","2014 8th Malaysian Software Engineering Conference, MySEC 2014","N/A","N/A","84-89","2014-12-15","10.1109/MySec.2014.6985993","7","Conference Proceeding","cp","Conference Paper","21100390369","0","https://api.elsevier.com/content/abstract/scopus_id/84929347083","Automatic Programming Assessment (APA) has recently become a significant method in assisting educators of programming courses to automatically mark and grade students' programming as its counterpart; the typical manual tasks are prone to errors and leading to inconsistency. By default, test data generation process plays an important role to perform a dynamic testing on students' programs. In software testing field, there have been diverse automated methods for test data generation. Unfortunately, APA seldom adopts these methods. Merely limited studies have attempted to integrate APA and test data generation to include more useful features and to provide a precise and thorough quality of program testing. Thus, we propose a framework of test data generation so-called FaSt-Gen to cover both the functional and structural testing of a program for APA. It aims to assist the lecturers of programming courses to furnish an adequate set of test data to assess students' programming solutions regardless of having the concrete expertise in the particular knowledge of test cases design. FaSt-Gen integrates the positive and negative testing criteria (or reliable and valid test adequacy criteria) to derive desired test data and test set schema. The findings from the conducted experiment depict that FaSt-Gen improves the reliability and validity test data adequacy in programming assessments.","Software","Universiti Utara Malaysia","Sintok","Malaysia"
"84919339636","2-s2.0-84919339636","Combating obesity through healthy eating behavior: A call for system dynamics optimization","Abidin N.Z., Mamat M., Dangerfield B., Zulkepli J.H., Baten Md.A., Wibowo A.","55932068800, 35761412000, 6701708653, 57191960721, 14037113500, 57190940136","60002763, 60078085; 60103919, 60020650, 60002763, 60002763, 60002763","Abidin N.Z.","PLoS ONE","19326203","9","N/A","2014-12-15","10.1371/journal.pone.0114135","48","Journal","ar","Article","10600153309","1","https://api.elsevier.com/content/abstract/scopus_id/84919339636","Poor eating behavior has been identified as one of the core contributory factors of the childhood obesity epidemic. The consequences of obesity on numerous aspects of life are thoroughly explored in the existing literature. For instance, evidence shows that obesity is linked to incidences of diseases such as heart disease, type-2 diabetes, and some cancers, as well as psychosocial problems. To respond to the increasing trends in the UK, in 2008 the government set a target to reverse the prevalence of obesity (POB) back to 2000 levels by 2020. This paper will outline the application of system dynamics (SD) optimization to simulate the effect of changes in the eating behavior of British children (aged 2 to 15 years) on weight and obesity. This study also will identify how long it will take to achieve the government's target. This paper proposed a simulation model called Intervention Childhood Obesity Dynamics (ICOD) by focusing the interrelations between various strands of knowledge in one complex human weight regulation system. The model offers distinct insights into the dynamics by capturing the complex interdependencies from the causal loop and feedback structure, with the intention to better understand how eating behaviors influence children's weight, body mass index (BMI), and POB measurement. This study proposed a set of equations that are revised from the original (baseline) equations. The new functions are constructed using a RAMP function of linear decrement in portion size and number of meal variables from 2013 until 2020 in order to achieve the 2020 desired target. Findings from the optimization analysis revealed that the 2020 target won't be achieved until 2026 at the earliest, six years late. Thus, the model suggested that a longer period may be needed to significantly reduce obesity in this population.","Multidisciplinary","Universiti Utara Malaysia","Sintok","Malaysia"
